CODIGO,NOMBRES Y APELLIDOS,ESCUELA PROFESIONAL,PUNTAJE,ORDEN DE MÉRITO,RESULTADO
330682,,,,,ALCANZÓ VACANTE
359805,,,,,ALCANZÓ VACANTE
365032,,,,,
359374,,,,,ALCANZÓ VACANTE
335643,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
376502,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
392054,,,,,ALCANZÓ VACANTE
315025,,,,,ALCANZÓ VACANTE
328996,,,,,
390308,,,,,
371544,,,,,ALCANZÓ VACANTE
364920,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
364239,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
375412,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
219612,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
186495,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
217563,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
776320,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
842027,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
795156,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
786172,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
835107,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
594557,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
555136,,,,,
553718,,,,,ALCANZÓ VACANTE
799175,,,,,
694910,,,,,
786527,,,,,ALCANZÓ VACANTE
697032,,,,,
753509,,,,,ALCANZÓ VACANTE
791539,,,,,
805857,,,,,
717845,,,,,
808447,,,,,ALCANZÓ VACANTE
778217,,,,,
723791,,,,,AUSENTE
726834,,,,,
797309,,,,,
818932,,,,,
747998,,,,,
797882,,,,,
